state,x,y
Alabama,139,-77
Alaska,-204,-170
Arizona,-202,-20
Arkansas,57,-53
California,-297,13
Colorado,-112,20
Connecticut,297,96
Delaware,275,42
Florida,241,-190
Georgia,207,-109
Hawaii,-180,-180
Idaho,-218,126
Illinois,95,30
Indiana,133,39
Iowa,38,65
Kansas,-40,15
Kentucky,149,12
Louisiana,53,-127
Maine,319,164
Maryland,260,49
Massachusetts,312,112
Michigan,140,110
Minnesota,30,135
Mississippi,92,-100
Missouri,49,15
Montana,-140,150
Nebraska,-60,60
Nevada,-260,50
New Hampshire,302,128
New Jersey,282,65
New Mexico,-125,-45
New York,265,108
North Carolina,239,15
North Dakota,-45,145
Ohio,175,45
Oklahoma,-35,-25
Oregon,-278,110
Pennsylvania,240,68
Rhode Island,318,105
South Carolina,220,-45
South Dakota,-45,100
Tennessee,130,-25
Texas,-65,-120
Utah,-180,30
Vermont,288,138
Virginia,240,25
Washington,-255,175
West Virginia,210,30
Wisconsin,70,105
Wyoming,-125,90
