X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
-73.95613,40.79408,37F-PM-1014-03,37F,PM,10142018,3,Adult,Gray,Cinnamon,"Gray, Cinnamon",,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
-73.96885,40.78378,21B-AM-1019-04,21B,AM,10192018,4,Adult,Gray,,Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
-73.97428,40.77553,11B-PM-1014-06,11B,PM,10142018,6,Adult,Cinnamon,,Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
-73.95964,40.79031,32E-PM-1017-14,32E,PM,10172018,14,Adult,Gray,,Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
-73.97027,40.77621,13E-AM-1017-05,13E,AM,10172018,5,Adult,Gray,Cinnamon,"Gray, Cinnamon",,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
-73.96823,40.77856,16D-PM-1012-01,16D,PM,10122018,1,Adult,Gray,,Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
-73.95411,40.79317,35E-AM-1013-03,35E,AM,10132018,3,Adult,Gray,,Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
-73.95827,40.79174,34B-AM-1008-01,34B,AM,10082018,1,Adult,Gray,,Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
-73.96746,40.78284,20D-PM-1007-01,20D,PM,10072018,1,Adult,Black,,Black,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
-73.97227,40.77382,09F-PM-1010-02,09F,PM,10102018,2,Adult,Cinnamon,,Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
-73.96924,40.78161,19C-PM-1018-02,19C,PM,10182018,2,Adult,Gray,,Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
-73.96755,40.78201,19E-PM-1013-03,19E,PM,10132018,3,Adult,Gray,,Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
-73.97232,40.77444,10E-AM-1010-01,10E,AM,10102018,1,Adult,Cinnamon,,Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
-73.96312,40.78912,28C-PM-1014-02,28C,PM,10142018,2,Adult,Black,,Black,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
-73.96014,40.79111,33D-AM-1008-02,33D,AM,10082018,2,Adult,Gray,,Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
