App,Category,Rating,Reviews,Size_MBs,Installs,Type,Price,Content_Rating,Genres
Subway Surfers,GAME,4.5,27722268,76.0,1000000000,Free,0.0,Everyone,Arcade
Candy Crush Saga,GAME,4.4,22426677,74.0,500000000,Free,0.0,Everyone,Casual
WhatsApp Messenger,COMMUNICATION,4.4,69119316,38.0,1000000000,Free,0.0,Everyone,Communication
Instagram,PHOTOGRAPHY,4.5,66577313,35.0,1000000000,Free,0.0,Teen,Social
Google Drive,PRODUCTIVITY,4.4,2731171,15.0,1000000000,Free,0.0,Everyone,Productivity
Minecraft,GAME,4.5,2376564,80.0,10000000,Paid,7.49,Everyone 10+,Arcade;Action & Adventure
Grand Theft Auto: San Andreas,GAME,4.4,348962,26.0,1000000,Paid,6.99,Mature 17+,Action
Sleep as Android Unlock,LIFESTYLE,4.5,23966,0.8,1000000,Paid,5.99,Everyone,Lifestyle
DraStic DS Emulator,GAME,4.6,87766,12.0,1000000,Paid,4.99,Everyone,Action
Facetune: One Tap Tweaking,PHOTOGRAPHY,4.4,49553,48.0,1000000,Paid,5.99,Everyone,Photography
Photography App #11,PHOTOGRAPHY,4.4,412082,11.7,10000000,Free,0.0,Everyone,Photography
Medical App #12,MEDICAL,4.9,27781,7.7,500000,Free,0.0,Teen,Medical
Finance App #13,FINANCE,4.9,104,4.6,10000,Paid,4.99,Everyone,Finance
Lifestyle App #14,LIFESTYLE,5.0,36,93.4,1000,Paid,4.99,Everyone,Lifestyle
Medical App #15,MEDICAL,4.1,759,54.6,10000,Free,0.0,Everyone,Medical
Lifestyle App #16,LIFESTYLE,4.2,5269,79.6,100000,Paid,4.99,Everyone,Lifestyle
Game App #17,GAME,4.0,12277,55.0,500000,Free,0.0,Everyone,Game
Family App #18,FAMILY,5.0,18,88.2,500,Free,0.0,Teen,Family
Communication App #19,COMMUNICATION,4.3,51072,91.8,1000000,Free,0.0,Everyone,Communication
Business App #20,BUSINESS,5.0,1,41.7,100,Free,0.0,Everyone,Business
Communication App #21,COMMUNICATION,4.7,63,9.3,1000,Paid,2.99,Everyone,Communication
Business App #22,BUSINESS,4.7,53630,33.1,1000000,Free,0.0,Everyone,Business
