Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross
1,2009-12-18,Avatar,"$237,000,000","$2,789,679,794","$760,507,625"
2,2019-04-26,Avengers: Endgame,"$356,000,000","$2,797,800,564","$858,373,000"
3,1997-12-19,Titanic,"$200,000,000","$2,187,463,944","$659,363,944"
4,2015-12-18,Star Wars: The Force Awakens,"$306,000,000","$2,068,223,624","$936,662,225"
5,2018-04-27,Avengers: Infinity War,"$316,000,000","$2,048,359,754","$678,815,482"
6,2015-06-12,Jurassic World,"$150,000,000","$1,671,713,208","$652,270,625"
7,2019-07-19,The Lion King,"$260,000,000","$1,656,943,394","$543,638,043"
8,2010-07-16,Inception,"$160,000,000","$828,322,032","$292,576,195"
9,2014-11-07,Interstellar,"$165,000,000","$677,471,339","$188,020,017"
10,2007-09-14,Paranormal Activity,"$15,000","$193,355,800","$107,918,810"
11,2012-03-09,John Carter,"$250,000,000","$284,139,100","$73,078,100"
12,2013-07-03,The Lone Ranger,"$215,000,000","$260,502,115","$89,302,115"
13,1977-05-25,Star Wars: A New Hope,"$11,000,000","$775,398,007","$460,998,007"
14,1993-06-11,Jurassic Park,"$63,000,000","$1,029,939,903","$402,453,882"
15,1994-07-06,Forrest Gump,"$55,000,000","$677,945,399","$330,252,182"
16,2018-04-15,Battle of Island #16,"$40,774,314","$88,748,746","$28,171,078"
17,2015-08-24,Journey of Mission #17,"$27,036,759","$12,885,349","$6,656,566"
18,2000-01-12,Legacy of Protocol #18,"$22,163,429","$4,481,936","$1,882,226"
19,1982-05-19,Shadow of Mission #19,"$31,381,708","$67,697,270","$20,578,581"
20,1988-10-21,Legacy of Chronicles #20,"$3,220,819","$4,170,587","$2,293,649"
21,2015-02-08,Secret of Journey #21,"$45,898,141","$108,231,720","$39,221,281"
22,2008-02-26,Protocol of Shadow #22,"$9,760,208","$21,641,010","$8,612,304"
23,2019-05-16,Shadow of Shadow #23,"$44,066,062","$98,373,952","$46,828,494"
24,2008-01-25,Chronicles of Island #24,"$148,303,452","$512,864,818","$266,024,083"
25,2021-07-26,Mission of Chronicles #25,"$1,798,506","$6,274,582","$3,055,655"
26,2002-08-05,Legacy of Chronicles #26,"$40,284,093","$88,334,918","$29,669,779"
27,1984-10-23,Dawn of Dawn #27,"$49,673,847","$114,267,397","$52,199,615"
28,1992-03-07,Secret of Protocol #28,"$11,112,569","$23,578,595","$11,348,972"
29,2001-12-02,Secret of Dawn #29,"$23,636,268","$29,365,564","$9,739,038"
30,2007-09-07,Shadow of Island #30,"$98,860,447","$105,292,406","$36,788,825"
31,2012-03-10,Battle of Shadow #31,"$5,530,359","$24,323,031","$9,655,291"
32,1991-07-02,Chronicles of Chronicles #32,"$36,897,360","$18,211,141","$5,643,909"
33,1998-02-21,Secret of Protocol #33,"$11,934,275","$72,017,265","$26,834,827"
34,1990-08-27,Chronicles of Shadow #34,"$3,409,980","$11,715,381","$4,916,328"
35,1985-03-20,Legacy of Secret #35,"$5,213,262","$6,244,507","$3,205,585"
36,2011-07-20,Shadow of Shadow #36,"$117,260,348","$272,617,887","$137,046,929"
37,2002-10-03,Secret of Chronicles #37,"$3,182,805","$3,840,260","$2,283,612"
38,1981-01-16,Legacy of Legacy #38,"$133,021,724","$290,693,099","$111,527,723"
39,1999-08-22,Battle of Secret #39,"$51,966,827","$115,265,659","$37,489,232"
40,2017-08-20,Legacy of Shadow #40,"$18,945,696","$39,813,656","$17,744,314"
41,2015-01-04,Battle of Protocol #41,"$3,326,197","$3,627,570","$1,900,655"
42,1982-01-01,Journey of Legacy #42,"$15,616,672","$32,297,510","$15,404,660"
43,1987-11-27,Chronicles of Island #43,"$56,051,193","$127,350,481","$60,245,840"
44,1998-04-03,Journey of Legacy #44,"$49,070,313","$9,757,222","$3,745,486"
45,2020-05-24,Chronicles of Secret #45,"$5,341,345","$11,852,764","$5,590,803"
46,2000-07-01,Battle of Battle #46,"$4,979,989","$6,329,620","$3,220,567"
47,2011-06-23,Chronicles of Battle #47,"$2,033,222","$4,491,891","$2,529,886"
48,2012-09-11,Battle of Dawn #48,"$36,274,730","$77,385,086","$29,163,504"
49,1986-09-04,Legacy of Protocol #49,"$57,049,178","$115,856,507","$59,155,181"
50,1994-12-02,Journey of Dawn #50,"$1,609,756","$3,535,082","$1,636,012"
51,2001-01-20,Island of Chronicles #51,"$1,217,408","$1,395,799","$643,637"
52,1987-05-12,Legacy of Protocol #52,"$132,908,888","$287,197,475","$121,601,183"
53,2019-04-16,Chronicles of Battle #53,"$140,240,862","$314,672,763","$124,889,510"
54,1998-12-26,Chronicles of Mission #54,"$1,488,003","$182,753","$64,326"
55,2011-06-16,Protocol of Island #55,"$2,525,254","$11,783,163","$5,791,202"
56,2001-07-03,Island of Protocol #56,"$3,507,584","$7,633,417","$2,514,067"
