address,price,link
"747 Geary Street, 747 Geary St, Oakland, CA 94609","$2,895",
"Parkmerced  3711 19th Ave, San Francisco, CA","$2,810",
"845 Sutter, 845 Sutter St APT 509, San Francisco, CA","$2,450",
"100 Van Ness, 100 Van Ness Ave #410, San Francisco, CA 94102","$2,940",
"828 Franklin, 828 Franklin St #606, San Francisco, CA 94102","$2,395",
"923 Folsom, 923 Folsom St APT 506, San Francisco, CA 94107","$2,816",
"Hanover Soma West, 1140 Harrison St #138, San Francisco, CA 94103","$2,974",
"Slate Residences, 911 Bryant St #102, San Francisco, CA 94103","$2,704",
"NorthPoint Apartments, 2211 Stockton St, San Francisco, CA 94133","$2,810",
"The Landing  1395 22nd St, San Francisco, CA","$2,798",
"1350 Washington Street  1350 Washington St, San Francisco, CA","$2,195",
"2775 Market St, 2775 Market St APT 102, San Francisco, CA 94114","$2,995",
"Mt. Sutro, 480 Warren Dr #312, San Francisco, CA 94131","$2,895",
"Konrad on the Park, 971 Eddy St #212, San Francisco, CA 94109","$2,805",
"1188 Mission at Trinity Place  1188 Mission St, San Francisco, CA",$1914,
"Nob Hill Place, 1155 Jones St APT 208, San Francisco, CA 94109","$2,950",
"Avalon Sunset Towers, 8 Locksley Ave, San Francisco, CA 94131","$2,917",
"125-135 Gardenside, 125 Gardenside Dr, San Francisco, CA 94114","$2,595",
"Freedom West, 820 McAllister St, San Francisco, CA 94102","$2,000",
"Franklin St, 24 Franklin St #805, San Francisco, CA 94102","$2,824",
"Loft 168, 168 Bluxome St, San Francisco, CA 94107","$2,800",
"Mosser Towers Apartments, 455 Eddy St APT E1102, San Francisco, CA 94102","$2,450",
"1029 Geary St., 1029 Geary St, San Francisco, CA 94109","$2,095",
"33 8th at Trinity Place  33 8th St, San Francisco, CA","$2,298",
"SoMa Square  1 Saint Francis Pl, San Francisco, CA","$2,809",
"480 Potrero Ave, 480 Potrero Ave #610, San Francisco, CA 94110","$2,495",
"The Mission  240 Dolores St, San Francisco, CA","$2,494",
"L Seven  1222 Harrison St, San Francisco, CA","$2,775",
"Palace Court Apartments  555 Ofarrell St, San Francisco, CA","$1,745",
"2000 Post  2000 Post St, San Francisco, CA","$2,764",
"HQ  1532 Harrison St, San Francisco, CA","$2,799",
"AVA 55 Ninth  55 9th St, San Francisco, CA","$2,525",
"The Bay  2133 Stockton St, San Francisco, CA","$2,199",
"Lofts at Seven  277 Golden Gate Ave, San Francisco, CA","$1,995",
"347 Eddy St.  347 Eddy St, San Francisco, CA","$1,895",
"Solaire  299 Fremont St, San Francisco, CA","$2,898",
"Marina Cove Apartments, 1550 Bay St APT B225, San Francisco, CA 94123","$2,999",
"Avalon Dogpatch, 800 Indiana St, San Francisco, CA 94107","$2,830",
"The Gateway, 430 Davis Ct #3-0306, San Francisco, CA 94111","$2,895",
"50 Laguna, 50 Laguna St APT 604, San Francisco, CA 94102","$2,775",
"The Fillmore Center, 1475 Fillmore St #S30305, San Francisco, CA 94115","$2,998",
"1333 Gough Apartments at Cathedral Hall, 1333 Gough St APT 1G, San Francisco, CA 94109","$2,895",
"1177 Market at Trinity Place  1177 Market St, San Francisco, CA","$2,773",
"300 Buchanan, 300 Buchanan St #202, San Francisco, CA 94102","$2,975",
