m,TagName,m0
2008-07-01 00:00:00,python,185
2008-07-01 00:00:00,javascript,1067
2008-07-01 00:00:00,java,6446
2008-07-01 00:00:00,c#,15469
2008-07-01 00:00:00,c++,7363
2008-08-01 00:00:00,python,251
2008-08-01 00:00:00,javascript,1003
2008-08-01 00:00:00,java,6444
2008-08-01 00:00:00,c#,15809
2008-08-01 00:00:00,c++,7520
2008-09-01 00:00:00,python,266
2008-09-01 00:00:00,javascript,1877
2008-09-01 00:00:00,java,6951
2008-09-01 00:00:00,c#,15365
2008-09-01 00:00:00,c++,7284
2008-10-01 00:00:00,python,339
2008-10-01 00:00:00,javascript,1878
2008-10-01 00:00:00,java,7078
2008-10-01 00:00:00,c#,15540
2008-10-01 00:00:00,c++,7535
2008-11-01 00:00:00,python,365
2008-11-01 00:00:00,javascript,2395
2008-11-01 00:00:00,java,7322
2008-11-01 00:00:00,c#,15647
2008-11-01 00:00:00,c++,7560
2008-12-01 00:00:00,python,265
2008-12-01 00:00:00,javascript,2740
2008-12-01 00:00:00,java,7720
2008-12-01 00:00:00,c#,15672
2008-12-01 00:00:00,c++,7422
2009-01-01 00:00:00,python,50
2009-01-01 00:00:00,javascript,3035
2009-01-01 00:00:00,java,7367
2009-01-01 00:00:00,c#,15976
2009-01-01 00:00:00,c++,7653
2009-02-01 00:00:00,python,302
2009-02-01 00:00:00,javascript,3024
2009-02-01 00:00:00,java,8039
2009-02-01 00:00:00,c#,16032
2009-02-01 00:00:00,c++,7462
2009-03-01 00:00:00,python,462
2009-03-01 00:00:00,javascript,3714
2009-03-01 00:00:00,java,8035
2009-03-01 00:00:00,c#,16262
2009-03-01 00:00:00,c++,7713
2009-04-01 00:00:00,python,303
2009-04-01 00:00:00,javascript,3805
2009-04-01 00:00:00,java,7946
2009-04-01 00:00:00,c#,16575
2009-04-01 00:00:00,c++,7689
2009-05-01 00:00:00,python,50
2009-05-01 00:00:00,javascript,4291
2009-05-01 00:00:00,java,8652
2009-05-01 00:00:00,c#,16666
2009-05-01 00:00:00,c++,7777
2009-06-01 00:00:00,python,286
2009-06-01 00:00:00,javascript,4586
2009-06-01 00:00:00,java,8505
2009-06-01 00:00:00,c#,16489
2009-06-01 00:00:00,c++,7773
2009-07-01 00:00:00,python,518
2009-07-01 00:00:00,javascript,5017
2009-07-01 00:00:00,java,8982
2009-07-01 00:00:00,c#,16708
2009-07-01 00:00:00,c++,7676
2009-08-01 00:00:00,python,398
2009-08-01 00:00:00,javascript,5717
2009-08-01 00:00:00,java,9409
2009-08-01 00:00:00,c#,16748
2009-08-01 00:00:00,c++,7782
2009-09-01 00:00:00,python,548
2009-09-01 00:00:00,javascript,5476
2009-09-01 00:00:00,java,9120
2009-09-01 00:00:00,c#,16641
2009-09-01 00:00:00,c++,7815
2009-10-01 00:00:00,python,279
2009-10-01 00:00:00,javascript,6257
2009-10-01 00:00:00,java,9510
2009-10-01 00:00:00,c#,16911
2009-10-01 00:00:00,c++,7864
2009-11-01 00:00:00,python,386
2009-11-01 00:00:00,javascript,6142
2009-11-01 00:00:00,java,9499
2009-11-01 00:00:00,c#,16738
2009-11-01 00:00:00,c++,7746
2009-12-01 00:00:00,python,542
2009-12-01 00:00:00,javascript,6626
2009-12-01 00:00:00,java,9485
2009-12-01 00:00:00,c#,16999
2009-12-01 00:00:00,c++,7807
2010-01-01 00:00:00,python,344
2010-01-01 00:00:00,javascript,6790
2010-01-01 00:00:00,java,10103
2010-01-01 00:00:00,c#,17150
2010-01-01 00:00:00,c++,7965
2010-01-01 00:00:00,r,156
2010-02-01 00:00:00,python,458
2010-02-01 00:00:00,javascript,7119
2010-02-01 00:00:00,java,10279
2010-02-01 00:00:00,c#,17067
2010-02-01 00:00:00,c++,7876
2010-02-01 00:00:00,r,20
2010-03-01 00:00:00,python,442
2010-03-01 00:00:00,javascript,7466
2010-03-01 00:00:00,java,10165
2010-03-01 00:00:00,c#,17116
2010-03-01 00:00:00,c++,7983
2010-03-01 00:00:00,r,213
2010-04-01 00:00:00,python,806
2010-04-01 00:00:00,javascript,7950
2010-04-01 00:00:00,java,10593
2010-04-01 00:00:00,c#,17147
2010-04-01 00:00:00,c++,8059
2010-04-01 00:00:00,r,201
2010-05-01 00:00:00,python,463
2010-05-01 00:00:00,javascript,7771
2010-05-01 00:00:00,java,10517
2010-05-01 00:00:00,c#,17210
2010-05-01 00:00:00,c++,7975
2010-05-01 00:00:00,r,172
2010-06-01 00:00:00,python,471
2010-06-01 00:00:00,javascript,8243
2010-06-01 00:00:00,java,11187
2010-06-01 00:00:00,c#,17150
2010-06-01 00:00:00,c++,8211
2010-06-01 00:00:00,r,156
2010-07-01 00:00:00,python,706
2010-07-01 00:00:00,javascript,8688
2010-07-01 00:00:00,java,11346
2010-07-01 00:00:00,c#,17457
2010-07-01 00:00:00,c++,8108
2010-07-01 00:00:00,r,154
2010-08-01 00:00:00,python,670
2010-08-01 00:00:00,javascript,9255
2010-08-01 00:00:00,java,11535
2010-08-01 00:00:00,c#,17166
2010-08-01 00:00:00,c++,8117
2010-08-01 00:00:00,r,357
2010-09-01 00:00:00,python,576
2010-09-01 00:00:00,javascript,8918
2010-09-01 00:00:00,java,11542
2010-09-01 00:00:00,c#,17663
2010-09-01 00:00:00,c++,8283
2010-09-01 00:00:00,r,168
2010-10-01 00:00:00,python,543
2010-10-01 00:00:00,javascript,9465
2010-10-01 00:00:00,java,11756
2010-10-01 00:00:00,c#,17692
2010-10-01 00:00:00,c++,8035
2010-10-01 00:00:00,r,315
2010-11-01 00:00:00,python,778
2010-11-01 00:00:00,javascript,9901
2010-11-01 00:00:00,java,11933
2010-11-01 00:00:00,c#,17600
2010-11-01 00:00:00,c++,8117
2010-11-01 00:00:00,r,266
2010-12-01 00:00:00,python,696
2010-12-01 00:00:00,javascript,9887
2010-12-01 00:00:00,java,11909
2010-12-01 00:00:00,c#,17347
2010-12-01 00:00:00,c++,8121
2010-12-01 00:00:00,r,141
2011-01-01 00:00:00,python,942
2011-01-01 00:00:00,javascript,10156
2011-01-01 00:00:00,java,12267
2011-01-01 00:00:00,c#,17352
2011-01-01 00:00:00,c++,8170
2011-01-01 00:00:00,r,188
2011-02-01 00:00:00,python,575
2011-02-01 00:00:00,javascript,10866
2011-02-01 00:00:00,java,12634
2011-02-01 00:00:00,c#,17578
2011-02-01 00:00:00,c++,8172
2011-02-01 00:00:00,r,195
2011-03-01 00:00:00,python,833
2011-03-01 00:00:00,javascript,11017
2011-03-01 00:00:00,java,12401
2011-03-01 00:00:00,c#,17637
2011-03-01 00:00:00,c++,8405
2011-03-01 00:00:00,r,384
2011-04-01 00:00:00,python,787
2011-04-01 00:00:00,javascript,11064
2011-04-01 00:00:00,java,12703
2011-04-01 00:00:00,c#,17823
2011-04-01 00:00:00,c++,8243
2011-04-01 00:00:00,r,336
2011-05-01 00:00:00,python,583
2011-05-01 00:00:00,javascript,11706
2011-05-01 00:00:00,java,13022
2011-05-01 00:00:00,c#,18002
2011-05-01 00:00:00,c++,8215
2011-05-01 00:00:00,r,339
2011-06-01 00:00:00,python,1009
2011-06-01 00:00:00,javascript,11642
2011-06-01 00:00:00,java,13324
2011-06-01 00:00:00,c#,17755
2011-06-01 00:00:00,c++,8474
2011-06-01 00:00:00,r,372
2011-07-01 00:00:00,python,880
2011-07-01 00:00:00,javascript,12246
2011-07-01 00:00:00,java,13567
2011-07-01 00:00:00,c#,18034
2011-07-01 00:00:00,c++,8312
2011-07-01 00:00:00,r,368
2011-08-01 00:00:00,python,1286
2011-08-01 00:00:00,javascript,12076
2011-08-01 00:00:00,java,13268
2011-08-01 00:00:00,c#,17879
2011-08-01 00:00:00,c++,8304
2011-08-01 00:00:00,r,332
2011-09-01 00:00:00,python,1189
2011-09-01 00:00:00,javascript,12457
2011-09-01 00:00:00,java,13181
2011-09-01 00:00:00,c#,18111
2011-09-01 00:00:00,c++,8309
2011-09-01 00:00:00,r,410
2011-10-01 00:00:00,python,1281
2011-10-01 00:00:00,javascript,12633
2011-10-01 00:00:00,java,13849
2011-10-01 00:00:00,c#,17881
2011-10-01 00:00:00,c++,8224
2011-10-01 00:00:00,r,333
2011-11-01 00:00:00,python,1098
2011-11-01 00:00:00,javascript,12722
2011-11-01 00:00:00,java,13777
2011-11-01 00:00:00,c#,17873
2011-11-01 00:00:00,c++,8331
2011-11-01 00:00:00,r,471
2011-12-01 00:00:00,python,1110
2011-12-01 00:00:00,javascript,13062
2011-12-01 00:00:00,java,14256
2011-12-01 00:00:00,c#,17999
2011-12-01 00:00:00,c++,8407
2011-12-01 00:00:00,r,426
2012-01-01 00:00:00,python,1301
2012-01-01 00:00:00,javascript,14045
2012-01-01 00:00:00,java,14131
2012-01-01 00:00:00,c#,18118
2012-01-01 00:00:00,c++,8503
2012-01-01 00:00:00,r,417
2012-01-01 00:00:00,go,256
2012-02-01 00:00:00,python,1370
2012-02-01 00:00:00,javascript,14043
2012-02-01 00:00:00,java,14598
