set_num,name,year,theme_id,num_parts
700.1-1,Extra-Large Gift Set,1949,365,142
700.2-1,Large Gift Set,1949,365,178
700.3-1,Medium Gift Set,1949,365,142
700.A-1,Small Brick Set,1950,365,24
338-1,Ambulance,1970,50,53
375-2,Castle (Yellow Castle),1978,186,767
928-1,Space Cruiser And Moonbase,1979,126,338
850-1,Fork-Lift Truck,1977,1,210
8860-1,Car Chassis,1980,1,668
6080-1,King's Castle,1984,186,674
6990-1,Monorail Transport System,1987,126,731
7140-1,X-wing Fighter,1999,18,266
7190-1,Millennium Falcon,2000,18,663
4709-1,Hogwarts Castle,2001,246,682
10179-1,Ultimate Collector's Millennium Falcon,2007,158,5197
10188-1,Death Star,2008,158,3803
10214-1,Tower Bridge,2010,22,4287
7965-1,Millennium Falcon (2011),2011,158,1254
75192-1,UCS Millennium Falcon,2017,158,7541
71043-1,Hogwarts Castle Microscale,2018,246,6020
10276-1,Colosseum,2020,22,9036
10294-1,Titanic,2021,22,9090
10307-1,Eiffel Tower,2022,22,10001
60316-1,Police Station,2022,52,668
75331-1,The Razor Crest UCS,2022,18,6187
75355-1,X-Wing Starfighter UCS,2023,18,1949
76269-1,Avengers Tower,2023,576,5201
42146-1,Liebherr Crawler Crane LR 13000,2023,1,2883
1955-1,Building Set 1955 #1,1955,246,31
1955-2,Building Set 1955 #2,1955,576,48
1955-3,Building Set 1955 #3,1955,126,36
1955-4,Building Set 1955 #4,1955,576,36
1955-5,Building Set 1955 #5,1955,126,65
1956-1,Building Set 1956 #1,1956,186,58
1956-2,Building Set 1956 #2,1956,126,34
1956-3,Building Set 1956 #3,1956,126,35
1956-4,Building Set 1956 #4,1956,1,49
1956-5,Building Set 1956 #5,1956,22,10
1957-1,Building Set 1957 #1,1957,1,10
1957-2,Building Set 1957 #2,1957,50,62
1957-3,Building Set 1957 #3,1957,246,49
1957-4,Building Set 1957 #4,1957,126,57
1957-5,Building Set 1957 #5,1957,50,39
1958-1,Building Set 1958 #1,1958,18,97
1958-2,Building Set 1958 #2,1958,52,57
1958-3,Building Set 1958 #3,1958,673,69
1958-4,Building Set 1958 #4,1958,22,72
1958-5,Building Set 1958 #5,1958,576,30
1959-1,Building Set 1959 #1,1959,50,56
1959-2,Building Set 1959 #2,1959,576,71
1959-3,Building Set 1959 #3,1959,52,67
1959-4,Building Set 1959 #4,1959,673,13
1959-5,Building Set 1959 #5,1959,52,67
1960-1,Building Set 1960 #1,1960,576,93
1960-2,Building Set 1960 #2,1960,246,84
1960-3,Building Set 1960 #3,1960,126,69
1960-4,Building Set 1960 #4,1960,18,133
1960-5,Building Set 1960 #5,1960,22,98
1961-1,Building Set 1961 #1,1961,22,51
1961-2,Building Set 1961 #2,1961,22,61
1961-3,Building Set 1961 #3,1961,246,19
1961-4,Building Set 1961 #4,1961,576,34
1961-5,Building Set 1961 #5,1961,576,105
1962-1,Building Set 1962 #1,1962,126,109
1962-2,Building Set 1962 #2,1962,673,57
1962-3,Building Set 1962 #3,1962,246,75
1962-4,Building Set 1962 #4,1962,22,34
1962-5,Building Set 1962 #5,1962,246,123
1963-1,Building Set 1963 #1,1963,246,141
1963-2,Building Set 1963 #2,1963,576,141
1963-3,Building Set 1963 #3,1963,186,92
1963-4,Building Set 1963 #4,1963,126,133
1963-5,Building Set 1963 #5,1963,50,108
1964-1,Building Set 1964 #1,1964,246,169
1964-2,Building Set 1964 #2,1964,22,79
1964-3,Building Set 1964 #3,1964,50,118
1964-4,Building Set 1964 #4,1964,246,215
1964-5,Building Set 1964 #5,1964,52,61
1965-1,Building Set 1965 #1,1965,126,90
1965-2,Building Set 1965 #2,1965,52,46
1965-3,Building Set 1965 #3,1965,246,77
1965-4,Building Set 1965 #4,1965,18,91
1965-5,Building Set 1965 #5,1965,673,138
1966-1,Building Set 1966 #1,1966,186,185
1966-2,Building Set 1966 #2,1966,52,131
1966-3,Building Set 1966 #3,1966,673,176
1966-4,Building Set 1966 #4,1966,246,111
1966-5,Building Set 1966 #5,1966,1,161
1967-1,Building Set 1967 #1,1967,1,116
1967-2,Building Set 1967 #2,1967,52,57
1967-3,Building Set 1967 #3,1967,22,89
1967-4,Building Set 1967 #4,1967,22,110
1967-5,Building Set 1967 #5,1967,126,77
1968-1,Building Set 1968 #1,1968,576,206
1968-2,Building Set 1968 #2,1968,186,169
1968-3,Building Set 1968 #3,1968,52,62
1968-4,Building Set 1968 #4,1968,1,150
1968-5,Building Set 1968 #5,1968,246,149
1969-1,Building Set 1969 #1,1969,18,114
1969-2,Building Set 1969 #2,1969,576,194
1969-3,Building Set 1969 #3,1969,1,135
1969-4,Building Set 1969 #4,1969,1,158
1969-5,Building Set 1969 #5,1969,1,126
1970-1,Building Set 1970 #1,1970,673,147
1970-2,Building Set 1970 #2,1970,186,232
1970-3,Building Set 1970 #3,1970,576,96
1970-4,Building Set 1970 #4,1970,1,120
1970-5,Building Set 1970 #5,1970,52,276
1971-1,Building Set 1971 #1,1971,18,237
1971-2,Building Set 1971 #2,1971,1,360
1971-3,Building Set 1971 #3,1971,22,115
1971-4,Building Set 1971 #4,1971,50,148
1971-5,Building Set 1971 #5,1971,52,107
1972-1,Building Set 1972 #1,1972,673,150
1972-2,Building Set 1972 #2,1972,50,162
1972-3,Building Set 1972 #3,1972,246,297
1972-4,Building Set 1972 #4,1972,52,195
1972-5,Building Set 1972 #5,1972,246,258
1973-1,Building Set 1973 #1,1973,18,265
1973-2,Building Set 1973 #2,1973,22,305
1973-3,Building Set 1973 #3,1973,22,241
1973-4,Building Set 1973 #4,1973,673,94
1973-5,Building Set 1973 #5,1973,50,167
