MONTH,BTC_NEWS_SEARCH
2014-09-01,3
2014-10-01,5
2014-11-01,4
2014-12-01,3
2015-01-01,3
2015-02-01,3
2015-03-01,7
2015-04-01,4
2015-05-01,6
2015-06-01,3
2015-07-01,3
2015-08-01,6
2015-09-01,3
2015-10-01,6
2015-11-01,3
2015-12-01,4
2016-01-01,4
2016-02-01,7
2016-03-01,3
2016-04-01,8
2016-05-01,3
2016-06-01,4
2016-07-01,3
2016-08-01,5
2016-09-01,4
2016-10-01,9
2016-11-01,9
2016-12-01,5
2017-01-01,9
2017-02-01,9
2017-03-01,12
2017-04-01,28
2017-05-01,34
2017-06-01,46
2017-07-01,43
2017-08-01,49
2017-09-01,70
2017-10-01,73
2017-11-01,93
2017-12-01,93
2018-01-01,79
2018-02-01,70
2018-03-01,55
2018-04-01,40
2018-05-01,35
2018-06-01,25
2018-07-01,16
2018-08-01,14
2018-09-01,8
2018-10-01,11
2018-11-01,8
2018-12-01,7
2019-01-01,8
2019-02-01,10
2019-03-01,7
2019-04-01,20
2019-05-01,19
2019-06-01,21
2019-07-01,17
2019-08-01,19
2019-09-01,14
2019-10-01,17
2019-11-01,14
2019-12-01,3
2020-01-01,7
2020-02-01,9
2020-03-01,8
2020-04-01,4
2020-05-01,8
2020-06-01,3
2020-07-01,4
2020-08-01,3
2020-09-01,3
