MONTH,TSLA_WEB_SEARCH,TSLA_USD_CLOSE
2010-06-01,10,3.22
2010-07-01,10,10.23
2010-08-01,10,4.85
2010-09-01,8,3.0
2010-10-01,13,3.92
2010-11-01,10,3.0
2010-12-01,6,3.38
2011-01-01,10,6.2
2011-02-01,17,5.19
2011-03-01,16,3.99
2011-04-01,7,5.75
2011-05-01,12,9.25
2011-06-01,7,3.0
2011-07-01,7,3.0
2011-08-01,14,6.99
2011-09-01,9,3.0
2011-10-01,14,8.63
2011-11-01,10,4.8
2011-12-01,8,5.51
2012-01-01,12,3.0
2012-02-01,14,3.0
2012-03-01,9,3.0
2012-04-01,7,7.76
2012-05-01,9,3.31
2012-06-01,7,3.28
2012-07-01,10,4.77
2012-08-01,5,3.0
2012-09-01,9,3.66
2012-10-01,7,3.0
2012-11-01,12,3.0
2012-12-01,5,5.37
2013-01-01,19,49.85
2013-02-01,13,46.92
2013-03-01,19,49.21
2013-04-01,17,46.62
2013-05-01,21,52.26
2013-06-01,25,46.85
2013-07-01,24,49.84
2013-08-01,17,49.22
2013-09-01,24,45.41
2013-10-01,22,48.07
2013-11-01,11,52.47
2013-12-01,17,53.02
2014-01-01,27,53.39
2014-02-01,18,47.77
2014-03-01,22,51.91
2014-04-01,25,48.81
2014-05-01,25,49.51
2014-06-01,22,46.82
2014-07-01,27,52.91
2014-08-01,20,44.82
2014-09-01,14,45.45
2014-10-01,25,48.85
2014-11-01,21,44.92
2014-12-01,25,47.72
2015-01-01,19,42.45
2015-02-01,18,47.26
2015-03-01,19,48.1
2015-04-01,19,45.78
2015-05-01,23,44.27
2015-06-01,21,43.29
2015-07-01,12,42.75
2015-08-01,24,42.55
2015-09-01,16,45.95
2015-10-01,10,39.1
2015-11-01,16,44.12
2015-12-01,15,39.52
2016-01-01,19,42.81
2016-02-01,13,38.16
2016-03-01,22,39.51
2016-04-01,13,42.77
2016-05-01,16,32.62
2016-06-01,21,33.84
2016-07-01,12,33.64
2016-08-01,14,33.94
2016-09-01,22,38.86
2016-10-01,19,29.42
2016-11-01,21,29.53
2016-12-01,14,31.63
2017-01-01,22,28.83
2017-02-01,20,27.82
2017-03-01,18,30.21
2017-04-01,21,25.5
2017-05-01,19,22.63
2017-06-01,8,25.74
2017-07-01,21,28.09
2017-08-01,18,23.07
2017-09-01,16,17.15
2017-10-01,19,26.37
2017-11-01,16,15.57
2017-12-01,10,23.92
2018-01-01,15,16.88
2018-02-01,12,23.17
2018-03-01,10,17.94
2018-04-01,7,15.5
2018-05-01,10,21.32
2018-06-01,9,14.52
2018-07-01,12,12.37
2018-08-01,15,14.92
2018-09-01,8,12.47
2018-10-01,15,14.21
2018-11-01,15,14.19
2018-12-01,9,12.59
2019-01-01,14,12.59
2019-02-01,12,14.59
2019-03-01,5,9.52
2019-04-01,20,29.4
2019-05-01,22,37.91
2019-06-01,18,53.07
2019-07-01,21,58.31
2019-08-01,28,76.24
2019-09-01,35,86.38
2019-10-01,35,97.82
2019-11-01,33,126.04
2019-12-01,36,139.67
2020-01-01,45,160.09
2020-02-01,47,184.72
2020-03-01,43,198.92
2020-04-01,58,224.47
2020-05-01,56,254.11
2020-06-01,66,272.73
2020-07-01,77,299.28
2020-08-01,76,324.29
2020-09-01,76,357.54
