year,category,prize,motivation,laureate_type,full_name,birth_date,birth_country,birth_city,sex,death_date
1901,Physics,The Nobel Prize in Physics 1901,For foundational contributions to science and humanity,Individual,Wilhelm Conrad Röntgen,1845-03-27,Germany,City,Male,1923-02-10
1903,Physics,The Nobel Prize in Physics 1903,For foundational contributions to science and humanity,Individual,"Marie Curie, née Sklodowska",1867-11-07,Poland,City,Female,1934-07-04
1911,Chemistry,The Nobel Prize in Chemistry 1911,For foundational contributions to science and humanity,Individual,"Marie Curie, née Sklodowska",1867-11-07,Poland,City,Female,1934-07-04
1921,Physics,The Nobel Prize in Physics 1921,For foundational contributions to science and humanity,Individual,Albert Einstein,1879-03-14,Germany,City,Male,1955-04-18
1922,Physics,The Nobel Prize in Physics 1922,For foundational contributions to science and humanity,Individual,Niels Bohr,1885-10-07,Denmark,City,Male,1962-11-18
1954,Chemistry,The Nobel Prize in Chemistry 1954,For foundational contributions to science and humanity,Individual,Linus Pauling,1901-02-28,United States,City,Male,1994-08-19
1962,Peace,The Nobel Prize in Peace 1962,For foundational contributions to science and humanity,Individual,Linus Pauling,1901-02-28,United States,City,Male,1994-08-19
1956,Physics,The Nobel Prize in Physics 1956,For foundational contributions to science and humanity,Individual,John Bardeen,1908-05-23,United States,City,Male,1991-01-30
1972,Physics,The Nobel Prize in Physics 1972,For foundational contributions to science and humanity,Individual,John Bardeen,1908-05-23,United States,City,Male,1991-01-30
1958,Chemistry,The Nobel Prize in Chemistry 1958,For foundational contributions to science and humanity,Individual,Frederick Sanger,1918-08-13,United Kingdom,City,Male,2013-11-19
1980,Chemistry,The Nobel Prize in Chemistry 1980,For foundational contributions to science and humanity,Individual,Frederick Sanger,1918-08-13,United Kingdom,City,Male,2013-11-19
2014,Peace,The Nobel Prize in Peace 2014,For foundational contributions to science and humanity,Individual,Malala Yousafzai,1997-07-12,Pakistan,City,Female,
2019,Chemistry,The Nobel Prize in Chemistry 2019,For foundational contributions to science and humanity,Individual,John B. Goodenough,1922-07-25,Germany,City,Male,2023-06-25
1964,Peace,The Nobel Prize in Peace 1964,For foundational contributions to science and humanity,Individual,Martin Luther King Jr.,1929-01-15,United States,City,Male,1968-04-04
1979,Peace,The Nobel Prize in Peace 1979,For foundational contributions to science and humanity,Individual,Mother Teresa,1910-08-26,North Macedonia,City,Female,1997-09-05
1993,Peace,The Nobel Prize in Peace 1993,For foundational contributions to science and humanity,Individual,Nelson Mandela,1918-07-18,South Africa,City,Male,2013-12-05
1925,Literature,The Nobel Prize in Literature 1925,For foundational contributions to science and humanity,Individual,George Bernard Shaw,1856-07-26,Ireland,City,Male,1950-11-02
1954,Literature,The Nobel Prize in Literature 1954,For foundational contributions to science and humanity,Individual,Ernest Hemingway,1899-07-21,United States,City,Male,1961-07-02
1945,Medicine,The Nobel Prize in Medicine 1945,For foundational contributions to science and humanity,Individual,Alexander Fleming,1881-08-06,United Kingdom,City,Male,1955-03-11
1962,Medicine,The Nobel Prize in Medicine 1962,For foundational contributions to science and humanity,Individual,James Watson,1928-04-06,United States,City,Male,
1962,Medicine,The Nobel Prize in Medicine 1962,For foundational contributions to science and humanity,Individual,Francis Crick,1916-06-08,United Kingdom,City,Male,2004-07-28
1901,Literature,The Nobel Prize in Literature 1901,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1901_Lit_0,1835-07-26,Russia,Metropolis,Male,1929-05-15
1901,Medicine,The Nobel Prize in Medicine 1901,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1901_Med_1,1862-08-24,United States,Metropolis,Male,1940-05-15
1901,Medicine,The Nobel Prize in Medicine 1901,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1901_Med_2,1847-05-01,United States,Metropolis,Male,1924-05-15
1901,Literature,The Nobel Prize in Literature 1901,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1901_Lit_3,1866-12-16,Germany,Metropolis,Male,1952-05-15
1902,Economics,The Nobel Prize in Economics 1902,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1902_Eco_0,1857-04-25,United States,Metropolis,Male,1950-05-15
1902,Medicine,The Nobel Prize in Medicine 1902,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1902_Med_1,1848-02-04,Switzerland,Metropolis,Male,1945-05-15
1902,Physics,The Nobel Prize in Physics 1902,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1902_Phy_2,1849-05-02,Russia,Metropolis,Male,1938-05-15
1902,Literature,The Nobel Prize in Literature 1902,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1902_Lit_3,1833-08-15,United States,Metropolis,Male,1927-05-15
1903,Economics,The Nobel Prize in Economics 1903,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1903_Eco_0,1838-06-22,United States,Metropolis,Male,1914-05-15
1903,Chemistry,The Nobel Prize in Chemistry 1903,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1903_Che_1,1865-04-14,Germany,Metropolis,Male,1938-05-15
1903,Economics,The Nobel Prize in Economics 1903,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1903_Eco_2,1845-02-15,United States,Metropolis,Male,1924-05-15
1903,Peace,The Nobel Prize in Peace 1903,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1903_Pea_3,1843-09-15,Germany,Metropolis,Male,1928-05-15
1904,Physics,The Nobel Prize in Physics 1904,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1904_Phy_0,1860-11-19,United States,Metropolis,Male,1935-05-15
1904,Physics,The Nobel Prize in Physics 1904,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1904_Phy_1,1838-10-09,France,Metropolis,Male,1921-05-15
1905,Physics,The Nobel Prize in Physics 1905,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1905_Phy_0,1847-08-05,Germany,Metropolis,Male,1925-05-15
1905,Medicine,The Nobel Prize in Medicine 1905,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1905_Med_1,1866-03-01,Germany,Metropolis,Male,1956-05-15
1905,Peace,The Nobel Prize in Peace 1905,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1905_Pea_2,1815-10-10,Germany,Metropolis,Male,1905-05-15
1905,Literature,The Nobel Prize in Literature 1905,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1905_Lit_3,1860-04-05,United States,Metropolis,Female,1950-05-15
1906,Peace,The Nobel Prize in Peace 1906,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1906_Pea_0,1845-03-22,United Kingdom,Metropolis,Male,1931-05-15
1906,Literature,The Nobel Prize in Literature 1906,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1906_Lit_1,1837-12-12,Canada,Metropolis,Male,1921-05-15
1906,Literature,The Nobel Prize in Literature 1906,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1906_Lit_2,1854-09-07,United Kingdom,Metropolis,Male,1933-05-15
1906,Economics,The Nobel Prize in Economics 1906,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1906_Eco_3,1834-09-03,United States,Metropolis,Male,1913-05-15
1907,Economics,The Nobel Prize in Economics 1907,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1907_Eco_0,1851-12-24,United Kingdom,Metropolis,Male,1930-05-15
1907,Medicine,The Nobel Prize in Medicine 1907,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1907_Med_1,1857-01-26,United States,Metropolis,Male,1950-05-15
1907,Literature,The Nobel Prize in Literature 1907,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1907_Lit_2,1855-08-17,United States,Metropolis,Male,1940-05-15
1907,Medicine,The Nobel Prize in Medicine 1907,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1907_Med_3,1849-02-21,Germany,Metropolis,Male,1933-05-15
