date,births,deaths
1841-01-01,284,29
1841-02-01,289,44
1841-03-01,262,26
1841-04-01,317,41
1841-05-01,255,31
1841-06-01,256,23
1841-07-01,277,13
1841-08-01,218,19
1841-09-01,239,27
1841-10-01,242,15
1841-11-01,313,31
1841-12-01,272,17
1842-01-01,253,27
1842-02-01,235,27
1842-03-01,251,24
1842-04-01,251,40
1842-05-01,269,20
1842-06-01,294,20
1842-07-01,276,13
1842-08-01,230,26
1842-09-01,292,32
1842-10-01,266,26
1842-11-01,225,19
1842-12-01,256,35
1843-01-01,280,15
1843-02-01,279,26
1843-03-01,249,31
1843-04-01,300,40
1843-05-01,244,23
1843-06-01,279,37
1843-07-01,255,25
1843-08-01,236,16
1843-09-01,294,43
1843-10-01,267,36
1843-11-01,280,24
1843-12-01,280,42
1844-01-01,268,41
1844-02-01,191,25
1844-03-01,272,26
1844-04-01,272,12
1844-05-01,263,30
1844-06-01,314,28
1844-07-01,245,22
1844-08-01,297,34
1844-09-01,254,31
1844-10-01,272,36
1844-11-01,248,24
1844-12-01,258,16
1845-01-01,278,31
1845-02-01,270,26
1845-03-01,227,21
1845-04-01,259,21
1845-05-01,265,31
1845-06-01,326,36
1845-07-01,277,28
1845-08-01,212,22
1845-09-01,271,48
1845-10-01,264,30
1845-11-01,268,19
1845-12-01,304,39
1846-01-01,293,23
1846-02-01,312,20
1846-03-01,287,49
1846-04-01,240,21
1846-05-01,272,24
1846-06-01,223,24
1846-07-01,238,28
1846-08-01,242,37
1846-09-01,246,23
1846-10-01,294,20
1846-11-01,276,40
1846-12-01,221,24
1847-01-01,277,36
1847-02-01,232,15
1847-03-01,285,32
1847-04-01,277,32
1847-05-01,249,28
1847-06-01,278,4
1847-07-01,325,8
1847-08-01,234,6
1847-09-01,240,7
1847-10-01,304,4
1847-11-01,298,7
1847-12-01,294,11
1848-01-01,262,4
1848-02-01,243,4
1848-03-01,267,6
1848-04-01,278,8
1848-05-01,270,9
1848-06-01,262,11
1848-07-01,288,4
1848-08-01,237,6
1848-09-01,263,7
1848-10-01,284,6
1848-11-01,244,2
1848-12-01,256,7
1849-01-01,276,3
1849-02-01,275,7
1849-03-01,243,5
