CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,PRICE
1.64244,50.0,26.03,0,0.5852,6.947,8.4,1.9134,8,222,19.3,396.9,2.58,33.2
10.53543,25.0,2.24,0,0.5075,6.639,50.6,1.2527,3,307,20.2,396.9,12.0,24.0
4.60861,50.0,19.76,0,0.7381,6.788,92.9,4.9686,1,403,17.5,359.38,16.08,19.0
3.1953,12.5,25.53,1,0.8608,6.641,13.1,1.455,24,307,17.0,317.8,10.49,28.8
0.59369,0.0,5.95,0,0.5057,5.831,77.1,3.9119,2,403,21.0,396.9,4.8,18.1
0.59359,0.0,16.14,0,0.7005,6.582,42.7,2.0899,5,403,20.1,396.9,2.02,27.6
0.20944,50.0,25.28,0,0.4771,6.84,66.5,1.6717,24,666,20.2,394.27,2.97,37.9
7.03931,25.0,2.09,0,0.657,6.808,28.2,2.5329,1,666,17.4,327.17,11.44,25.5
3.21679,0.0,19.54,0,0.6073,7.112,18.4,5.9501,1,307,20.7,349.72,28.94,7.1
4.30938,0.0,9.02,0,0.8563,6.776,18.5,2.5932,2,222,14.3,343.32,4.01,34.2
0.0728,0.0,25.51,0,0.6782,6.526,9.7,5.2681,5,307,20.8,328.67,14.98,14.2
12.26245,25.0,26.74,0,0.5513,7.029,20.9,1.5023,4,403,18.3,302.5,21.83,22.9
6.2525,80.0,26.03,0,0.4359,6.261,67.4,5.5454,8,666,18.7,380.47,9.06,25.0
0.83541,0.0,13.67,0,0.4541,5.663,88.5,1.9112,5,307,16.4,298.43,12.76,25.4
0.70238,0.0,23.87,0,0.4904,6.166,82.0,4.494,3,307,14.6,372.56,18.57,19.1
0.70914,0.0,23.41,0,0.503,5.759,69.4,3.6026,1,666,18.6,167.61,4.72,23.8
1.26964,80.0,9.59,0,0.7968,5.807,13.6,9.0413,3,666,19.6,302.61,5.22,16.3
2.60375,25.0,23.0,0,0.655,6.179,31.0,2.5697,4,666,19.9,396.9,1.71,24.2
1.97938,25.0,2.17,0,0.6365,5.725,33.0,1.3054,3,403,19.6,275.56,34.69,7.6
1.20478,0.0,16.88,0,0.4362,6.064,27.2,1.158,5,666,19.2,396.9,26.66,16.7
3.3123,0.0,7.25,0,0.8015,4.954,52.9,6.3609,3,222,16.5,283.04,16.16,5.0
0.52582,0.0,4.37,0,0.7342,6.429,54.9,3.3317,4,307,20.0,396.9,2.52,19.9
1.2093,0.0,3.22,0,0.4132,6.281,37.6,5.5782,4,666,16.2,329.86,7.63,22.6
1.59697,25.0,19.51,0,0.7268,5.708,37.3,1.9014,4,666,20.7,326.3,2.77,22.0
2.13127,25.0,10.14,0,0.6463,6.741,83.4,2.3697,5,403,18.2,361.49,1.86,31.7
5.38278,80.0,20.26,0,0.42,6.936,79.5,1.1917,4,403,18.3,235.69,11.28,37.3
0.77958,80.0,2.92,1,0.6046,5.155,32.8,10.8707,1,307,20.2,396.9,34.1,5.0
2.5271,0.0,9.49,0,0.6175,5.746,91.6,4.4067,24,222,20.5,396.9,25.02,8.7
